,estimate,se,z-score,p-value,ci_0.025,ci_0.975,I^2,p(Q),p_fdr
7Networks_LH_Default_PFC_4,-0.1606862623626058,0.038427552083592775,-4.181537819870999,2.8954407655268355e-05,-0.23600288046048476,-0.08536964426472685,57.97915983120402,0.019736754386765407,9.984278501816675e-05
7Networks_LH_Default_PFC_5,-0.1120122089256493,0.03060007703959442,-3.660520487602469,0.0002517034259181816,-0.1719872578474054,-0.05203716000389319,31.276729233590594,0.17828776545816727,0.0006292585647954541
7Networks_LH_Default_PFC_6,-0.14173787074547609,0.02739374979741313,-5.174095251423403,2.2901797724905748e-07,-0.1954286337499072,-0.08804710774104495,15.254709178880908,0.31022290275536835,9.957303358654672e-07
7Networks_LH_Default_PFC_7,-0.18235726270443467,0.030801927284877996,-5.920319888358472,3.213160182369279e-09,-0.24272793083721717,-0.12198659457165217,34.277145912109475,0.15459358888896624,1.7850889902051552e-08
7Networks_LH_Default_pCunPCC_1,-0.18927146662375383,0.02672930451898249,-7.0810471888386735,1.4307444118344392e-12,-0.2416599408127632,-0.13688299243474444,12.901912103414977,0.32934996646220493,1.589716013149377e-11
7Networks_LH_Default_pCunPCC_2,-0.15420705115882605,0.03186760310743116,-4.83899120492268,1.3049982080515221e-06,-0.21666640552300784,-0.09174769679464426,38.908472467679026,0.1198431361308692,4.833326696487119e-06
7Networks_RH_Vis_1,0.024233952411409635,0.027020259795923075,0.896880807010825,0.3697825226264144,-0.02872478364151518,0.07719268846433446,11.99462887923015,0.33666229537078435,0.4921926456357403
7Networks_RH_Vis_2,0.035723250722671684,0.025350520181382515,1.4091722957585275,0.15878422758266675,-0.013962855822193844,0.0854093572675372,0.0,0.7712258351299744,0.22683461083238107
7Networks_RH_Vis_3,0.05255755568736142,0.046493081149441284,1.1304382154933392,0.25829161885056173,-0.038567208895841594,0.14368232027056443,71.24692397749354,0.000990572907492176,0.3587383595146691
7Networks_RH_Vis_4,0.05244381198426099,0.025319028208312087,2.0713200977849535,0.038328892326295216,0.002819428572415607,0.10206819539610637,0.0,0.9159824575981548,0.06724367074788636
7Networks_RH_Vis_5,0.03658122340526286,0.025275765761453912,1.4472844759880634,0.14781726519463279,-0.01295836716885742,0.08612081397938315,0.0,0.7584845037174814,0.2173783311685776
